filename, label, prediction1, score1, prediction2, score2
Non-Viable-Tumor___Case-3-A17-38558-18797_108.jpg,Non-Viable-Tumor,Viable,0.8011,Non-Viable-Tumor,0.1751
Non-Viable-Tumor___Case-3-A18-37940-12063_111.jpg,Non-Viable-Tumor,Non-Viable-Tumor,0.7516,Viable,0.133
Non-Viable-Tumor___Case-3-A7-18669-5101_118.jpg,Non-Viable-Tumor,Non-Viable-Tumor,0.7828,Viable,0.1889
Non-Viable-Tumor___Case-3-A7-31694-7282_107.jpg,Non-Viable-Tumor,Non-Viable-Tumor,0.6856,Non-Tumor,0.2526
Non-Viable-Tumor___Case-3-A7-36617-26705_105.jpg,Non-Viable-Tumor,Viable,0.4516,Non-Viable-Tumor,0.3868
Non-Viable-Tumor___Case-3-A8-27422-14386_120.jpg,Non-Viable-Tumor,Non-Viable-Tumor,0.6578,Viable,0.2184
Non-Viable-Tumor___Case-3-A8-42275-18820_109.jpg,Non-Viable-Tumor,Non-Viable-Tumor,0.5304,Viable,0.3131
Non-Viable-Tumor___Case-4-C24-13844-15938_112.jpg,Non-Viable-Tumor,Non-Viable-Tumor,0.9049,Non-Tumor,0.0648
Non-Viable-Tumor___Case-4-C24-16355-22492_115.jpg,Non-Viable-Tumor,Non-Viable-Tumor,0.5828,Viable,0.2979
Non-Viable-Tumor___Case-4-C27-37658-29791_117.jpg,Non-Viable-Tumor,Non-Tumor,0.3621,Viable,0.3501
Non-Viable-Tumor___Case-4-C31-10015-17952_106.jpg,Non-Viable-Tumor,Non-Viable-Tumor,0.8466,Non-Tumor,0.0884
Non-Viable-Tumor___Case-4-C31-19720-30902_102.jpg,Non-Viable-Tumor,Non-Viable-Tumor,0.7187,Non-Tumor,0.18
Non-Viable-Tumor___Case-4-C31-22851-36922_119.jpg,Non-Viable-Tumor,Viable,0.6707,Non-Viable-Tumor,0.2513
Viable___Case-4-C21-25306-21689_120.jpg,Viable,Non-Tumor,0.7664,Viable,0.1973
Viable___Case-4-C22-39386-26786_108.jpg,Viable,Viable,0.5116,Non-Tumor,0.3984
Viable___Case-4-C27-32431-19828_114.jpg,Viable,Viable,0.4524,Non-Viable-Tumor,0.3319
Viable___Case-4-C28-27016-13463_105.jpg,Viable,Viable,0.7809,Non-Viable-Tumor,0.1172
Viable___Case-4-C28-30914-19280_102.jpg,Viable,Viable,0.5385,Non-Tumor,0.2823
Viable___Case-4-C29-29639-16570_104.jpg,Viable,Viable,0.6699,Non-Viable-Tumor,0.2
Viable___Case-48-P5-C14-54171-23668_115.jpg,Viable,Viable,0.6556,Non-Viable-Tumor,0.212
Viable___Case-48-P5-C15-48775-26545_106.jpg,Viable,Viable,0.9581,Non-Tumor,0.0343
Viable___Case-48-P5-C16-39748-2743_111.jpg,Viable,Viable,0.6041,Non-Tumor,0.3403
Viable___Case-48-P5-C16-44867-23581_118.jpg,Viable,Viable,0.9974,Non-Viable-Tumor,0.0021
Viable___Case-48-P5-C20-15162-19423_103.jpg,Viable,Viable,0.9755,Non-Tumor,0.0176
Viable___Case-48-P5-C20-33672-6381_119.jpg,Viable,Viable,0.9896,Non-Viable-Tumor,0.0074
Viable___Case-48-P5-C20-39704-11268_116.jpg,Viable,Viable,0.9672,Non-Viable-Tumor,0.0189
Viable___Case-48-P5-C20-51615-14123_101.jpg,Viable,Non-Tumor,0.6119,Viable,0.3428
Viable___Case-48-P5-C20-54244-17885_113.jpg,Viable,Viable,0.966,Non-Tumor,0.0234
Viable___Case-48-P5-C20-8674-13881_109.jpg,Viable,Viable,0.9116,Non-Tumor,0.0642
Viable___Case-48-P5-C22-41496-16304_117.jpg,Viable,Viable,0.9701,Non-Viable-Tumor,0.0209
Viable___Case-48-P5-C22-46134-22320_107.jpg,Viable,Viable,0.9962,Non-Viable-Tumor,0.002
Viable___Case-48-P5-C22-46689-25261_112.jpg,Viable,Viable,0.9755,Non-Tumor,0.0168
Viable___Case-48-P5-C23-54011-19464_110.jpg,Viable,Viable,0.9407,Non-Viable-Tumor,0.0456
